697,743,"50.9193","3.9666","RANGE_INTERPOLATED","POINT (3.9666 50.9193)"
1018,1079,"32.789","-96.7989","APPROXIMATE","POINT (-96.7989 32.789)"
698,744,"52.091","14.6509","ROOFTOP","POINT (14.6509 52.091)"
1019,1080,"44.0291","-88.1629","RANGE_INTERPOLATED","POINT (-88.1629 44.0291)"
699,745,"49.0144","12.075","ROOFTOP","POINT (12.075 49.0144)"
1020,1081,"39.939","-77.6566","RANGE_INTERPOLATED","POINT (-77.6566 39.939)"
700,746,"49.8891","10.887","ROOFTOP","POINT (10.887 49.8891)"
701,747,"51.5314","6.7418","ROOFTOP","POINT (6.7418 51.5314)"
1021,1082,"38.5731","-121.481","ROOFTOP","POINT (-121.481 38.5731)"
702,748,"48.1826","11.2522","ROOFTOP","POINT (11.2522 48.1826)"
1022,1083,"47.6855","9.208","ROOFTOP","POINT (9.208 47.6855)"
703,749,"50.3216","7.5862","ROOFTOP","POINT (7.5862 50.3216)"
1023,1084,"44.8902","-92.6378","RANGE_INTERPOLATED","POINT (-92.6378 44.8902)"
704,750,"47.9262","9.4204","ROOFTOP","POINT (9.4204 47.9262)"
1024,706,"49.1482","-122.862","RANGE_INTERPOLATED","POINT (-122.862 49.1482)"
705,751,"19.642","-155.996","RANGE_INTERPOLATED","POINT (-155.996 19.642)"
1025,1086,"38.4418","-122.712","ROOFTOP","POINT (-122.712 38.4418)"
707,754,"41.0323","-74.6407","GEOMETRIC_CENTER","POINT (-74.6407 41.0323)"
1026,1087,"41.3879","2.1699","APPROXIMATE","POINT (2.1699 41.3879)"
708,755,"44.5617","-72.5984","APPROXIMATE","POINT (-72.5984 44.5617)"
709,756,"42.5278","-83.0472","RANGE_INTERPOLATED","POINT (-83.0472 42.5278)"
1027,1088,"51.4736","-3.179","GEOMETRIC_CENTER","POINT (-3.179 51.4736)"
710,757,"50.106","11.4442","ROOFTOP","POINT (11.4442 50.106)"
1028,1089,"12.9683","77.657","APPROXIMATE","POINT (77.657 12.9683)"
711,758,"50.1077","11.453","APPROXIMATE","POINT (11.453 50.1077)"
1029,1090,"38.6191","-121.4","RANGE_INTERPOLATED","POINT (-121.4 38.6191)"
712,759,"32.8409","-117.274","ROOFTOP","POINT (-117.274 32.8409)"
1030,1091,"29.8123","-95.4675","RANGE_INTERPOLATED","POINT (-95.4675 29.8123)"
713,760,"33.8575","-117.876","APPROXIMATE","POINT (-117.876 33.8575)"
1031,1092,"38.633","-90.21","ROOFTOP","POINT (-90.21 38.633)"
714,761,"44.6598","-63.5997","RANGE_INTERPOLATED","POINT (-63.5997 44.6598)"
1032,1093,"28.1646","-82.7717","ROOFTOP","POINT (-82.7717 28.1646)"
